obra_id,url,titulo,autor,soporte,img_url
b1e21bfd-49b3-4553-a09f-2816a2a6adfa,https://www.museodelprado.es/coleccion/obra-de-arte/cleopatra-dandose-muerte/b1e21bfd-49b3-4553-a09f-2816a2a6adfa,Cleopatra dándose muerte,"Vaccaro, Andrea",Óleo sobre lienzo. Siglo XVII,https://content3.cdnprado.net/imagenes/Documentos/imgsem/b1/b1e2/b1e21bfd-49b3-4553-a09f-2816a2a6adfa/004c42c9-b65e-486d-8a10-556f84ce5963_268.jpg
45cffbe9-383a-4fed-b031-bc078a38d82c,https://www.museodelprado.es/coleccion/obra-de-arte/socrates-y-dos-alumnos/45cffbe9-383a-4fed-b031-bc078a38d82c,Sócrates y dos alumnos,"Vecchia, Pietro della",Óleo sobre lienzo. Siglo XVII,https://content3.cdnprado.net/imagenes/Documentos/imgsem/45/45cf/45cffbe9-383a-4fed-b031-bc078a38d82c/14fcbcba-0ccb-4718-9b20-6b99430af3fa_268.jpg
9af69dfb-19a8-4a3b-95ee-3cb7270aaac8,https://www.museodelprado.es/coleccion/obra-de-arte/martirio-de-san-andres/9af69dfb-19a8-4a3b-95ee-3cb7270aaac8,Martirio de san Andrés,Domenichino,Óleo sobre lienzo. Siglo XVII,https://content3.cdnprado.net/imagenes/Documentos/imgsem/9a/9af6/9af69dfb-19a8-4a3b-95ee-3cb7270aaac8/0a5e4094-b6b4-4039-80be-652e340854d2_268.jpg
ba3e23a6-6ea9-4484-a020-7cc5e753d5cb,https://www.museodelprado.es/coleccion/obra-de-arte/los-desposorios-misticos-de-santa-catalina/ba3e23a6-6ea9-4484-a020-7cc5e753d5cb,Los desposorios místicos de santa Catalina,"Arpino, Il cavaliere d'",Óleo sobre tabla. Siglo XVII,https://content3.cdnprado.net/imagenes/Documentos/imgsem/ba/ba3e/ba3e23a6-6ea9-4484-a020-7cc5e753d5cb/5141d595-bb48-4df4-ba7a-4abf0ae2ff68_268.jpg
04ad1971-321e-4396-926c-2498a5b8e2e5,https://www.museodelprado.es/coleccion/obra-de-arte/la-ultima-cena/04ad1971-321e-4396-926c-2498a5b8e2e5,La Última Cena,Anónimo,Óleo sobre lámina de cobre. Siglo XVII,https://content3.cdnprado.net/imagenes/Documentos/imgsem/04/04ad/04ad1971-321e-4396-926c-2498a5b8e2e5/86c1157d-bb39-4607-8833-cb85632e37af_268.jpg
9cff1fc1-9e57-40d1-9c8c-cda2c8f1ff31,https://www.museodelprado.es/coleccion/obra-de-arte/el-entierro-de-cristo/9cff1fc1-9e57-40d1-9c8c-cda2c8f1ff31,El Entierro de Cristo,Anónimo,Óleo sobre lienzo. Siglo XVII,https://content3.cdnprado.net/imagenes/Documentos/imgsem/9c/9cff/9cff1fc1-9e57-40d1-9c8c-cda2c8f1ff31/269acf46-ff08-48be-bb4d-313437f6a5a8_268.jpg
28486fde-9bb8-4e57-a8e3-b7af885701ec,https://www.museodelprado.es/coleccion/obra-de-arte/la-magdalena-en-gloria/28486fde-9bb8-4e57-a8e3-b7af885701ec,La Magdalena en Gloria,"Lanfranco, Giovanni di Stefano",Óleo sobre lienzo. Siglo XVII,https://content3.cdnprado.net/imagenes/Documentos/imgsem/28/2848/28486fde-9bb8-4e57-a8e3-b7af885701ec/9b215008-f81e-42c5-8ba0-21fd3f86bee0_268.jpg
7045c39a-151c-406f-921f-5deb70b9cdf9,https://www.museodelprado.es/coleccion/obra-de-arte/puerto-de-mar/7045c39a-151c-406f-921f-5deb70b9cdf9,Puerto de mar,Anónimo,Óleo sobre lienzo. Siglo XVII,https://content3.cdnprado.net/imagenes/Documentos/imgsem/70/7045/7045c39a-151c-406f-921f-5deb70b9cdf9/cd137743-a5fe-43bd-b486-05dd43f7c36f_268.jpg
1c88afe7-acf0-44ac-8c0f-814e14744a64,https://www.museodelprado.es/coleccion/obra-de-arte/los-desposorios-de-la-virgen/1c88afe7-acf0-44ac-8c0f-814e14744a64,Los Desposorios de la Virgen,"Antolínez y Sarabia, Francisco",Óleo sobre lienzo. Siglo XVII,https://content3.cdnprado.net/imagenes/Documentos/imgsem/1c/1c88/1c88afe7-acf0-44ac-8c0f-814e14744a64/b7d6b8a6-9260-4bc3-b739-7aabe1757ef6_268.jpg
e807911c-4455-46d9-87e8-e58fb142f6e9,https://www.museodelprado.es/coleccion/obra-de-arte/florero/e807911c-4455-46d9-87e8-e58fb142f6e9,Florero,"Arellano, Juan de",Óleo sobre lienzo. Siglo XVII,https://content3.cdnprado.net/imagenes/Documentos/imgsem/e8/e807/e807911c-4455-46d9-87e8-e58fb142f6e9/bfcfcdf4-3a83-452a-84cc-0274fac1845c_268.jpg
