"exito","area","tam_cat","orientacion","soporte_grp","sop_montaje","tecnica","tipo_autor","serie","fecha_est","fecha_ancho","tema"
"0",52965.5,"grande","horizontal","Tabla/Panel","0","oleo","hombre","0",1272,341,"religioso"
"0",36442.45,"grande","horizontal","Tabla/Panel","0","otras","hombre","0",1426,1,"religioso"
"0",782,"pequeno","vertical","Tabla/Panel","0","otras","hombre","0",1438,25,"religioso"
"0",782,"pequeno","vertical","Tabla/Panel","0","otras","hombre","0",1438,25,"religioso"
"0",4750,"pequeno","vertical","Tabla/Panel","0","otras","hombre","1",1438,25,"religioso"
"0",4450,"pequeno","vertical","Tabla/Panel","0","otras","hombre","1",1438,25,"religioso"
"0",577.21,"pequeno","horizontal","Tabla/Panel","0","otras","hombre","0",1428,4,"religioso"
"0",8680,"mediano","horizontal","Tabla/Panel","0","otras","hombre","0",1435,0,"otros"
"0",5200,"mediano","vertical","Tabla/Panel","0","oleo","hombre","0",1436,3,"religioso"
"0",102480,"grande","vertical","Tabla/Panel","0","otras","hombre","0",1438,5,"religioso"
"0",55040,"grande","vertical","Tabla/Panel","0","otras","hombre","1",1440,0,"religioso"
"0",10452,"mediano","horizontal","Tabla/Panel","0","mixta","hombre","0",1440,0,"religioso"
"0",24038.1,"grande","vertical","Tabla/Panel","0","otras","hombre","1",1440,0,"religioso"
"0",24150,"grande","vertical","Tabla/Panel","0","otras","hombre","1",1440,0,"religioso"
"0",9294.13,"mediano","horizontal","Tabla/Panel","0","otras","hombre","1",1440,0,"religioso"
"0",9253.75,"mediano","horizontal","Tabla/Panel","0","otras","hombre","1",1440,0,"religioso"
"0",4747,"pequeno","vertical","Tabla/Panel","0","oleo","hombre","0",1438,0,"religioso"
"0",4747,"pequeno","vertical","Tabla/Panel","0","oleo","hombre","0",1438,0,"religioso"
"0",21539,"grande","vertical","Tabla/Panel","0","oleo","hombre","0",1445,10,"otros"
"0",1614.6,"pequeno","vertical","Tabla/Panel","0","oleo","hombre","0",1445,10,"religioso"
"0",20748,"grande","horizontal","Tabla/Panel","0","otras","hombre","0",1446,5,"religioso"
"0",33540,"grande","vertical","Tabla/Panel","0","oleo","hombre","1",1450,0,"religioso"
"0",15015,"mediano","vertical","Tabla/Panel","0","oleo","hombre","1",1450,0,"religioso"
"0",15015,"mediano","vertical","Tabla/Panel","0","mixta","hombre","1",1450,0,"religioso"
"0",15015,"mediano","vertical","Tabla/Panel","0","oleo","hombre","1",1450,0,"proceso_obra"
"0",15015,"mediano","vertical","Tabla/Panel","0","mixta","hombre","1",1450,0,"proceso_obra"
"0",8342,"mediano","vertical","Tabla/Panel","0","mixta","hombre","0",1450,0,"religioso"
"0",8320,"mediano","vertical","Tabla/Panel","0","mixta","hombre","0",1450,0,"religioso"
"0",6247.5,"mediano","vertical","Tabla/Panel","0","oleo","hombre","0",1450,0,"religioso"
"0",361562.25,"grande","vertical","Tabla/Panel","0","mixta","hombre","1",1452,15,"religioso"
"0",24700,"grande","horizontal","Tabla/Panel","0","mixta","hombre","1",1452,15,"religioso"
"0",5824,"mediano","vertical","Tabla/Panel","0","otras","hombre","0",1455,10,"religioso"
"0",32550,"grande","vertical","Tabla/Panel","1","otras","hombre","1",1455,10,"religioso"
"0",21000,"grande","vertical","Tabla/Panel","0","mixta","anonimo","0",1475,50,"religioso"
"0",21000,"grande","vertical","Tabla/Panel","0","mixta","anonimo","0",1475,50,"religioso"
"0",34736,"grande","vertical","Lienzo","0","otras","hombre","0",1286,369,"religioso"
"1",5472,"mediano","vertical","Tabla/Panel","0","oleo","hombre","0",1476,49,"religioso"
"0",5160,"mediano","vertical","Tabla/Panel","0","otras","anonimo","0",1476,49,"religioso"
"0",5160,"mediano","vertical","Tabla/Panel","0","otras","anonimo","0",1476,49,"religioso"
"0",780,"pequeno","vertical","Tabla/Panel","0","mixta","hombre","0",1458,5,"religioso"
"0",27840,"grande","vertical","Tabla/Panel","0","mixta","hombre","0",1460,0,"religioso"
"1",16957.5,"mediano","vertical","Tabla/Panel","0","oleo","hombre","0",1460,10,"otros"
"0",2289,"pequeno","vertical","Tabla/Panel","0","mixta","hombre","0",1462,0,"religioso"
"0",14356,"mediano","vertical","Tabla/Panel","0","mixta","hombre","0",1460,0,"religioso"
"0",16410.6,"mediano","horizontal","Tabla/Panel","0","oleo","hombre","0",1465,0,"religioso"
"0",3300,"pequeno","vertical","Tabla/Panel","0","oleo","hombre","0",1465,10,"religioso"
"0",6180,"mediano","vertical","Tabla/Panel","0","oleo","hombre","1",1465,10,"religioso"
"0",6180,"mediano","vertical","Tabla/Panel","0","oleo","hombre","1",1465,10,"otros"
"0",6180,"mediano","vertical","Tabla/Panel","0","oleo","hombre","1",1465,10,"religioso"
"0",6180,"mediano","vertical","Tabla/Panel","0","oleo","hombre","1",1465,10,"religioso"
"1",21645,"grande","vertical","Tabla/Panel","0","mixta","hombre","0",1464,4,"religioso"
"0",1666,"pequeno","vertical","Tabla/Panel","0","oleo","hombre","0",1468,5,"religioso"
"0",13098,"mediano","vertical","Tabla/Panel","0","mixta","hombre","0",1468,5,"religioso"
"0",10880,"mediano","vertical","Tabla/Panel","0","oleo","hombre","0",1470,0,"religioso"
"0",10880,"mediano","vertical","Tabla/Panel","0","oleo","hombre","0",1470,0,"religioso"
"0",11826,"mediano","vertical","Tabla/Panel","1","oleo","hombre","0",1294,387,"religioso"
"0",25745,"grande","horizontal","Tabla/Panel","0","oleo","hombre","0",1471,2,"religioso"
"0",17632.75,"mediano","horizontal","Tabla/Panel","0","oleo","hombre","0",1475,0,"religioso"
"0",5544,"mediano","vertical","Tabla/Panel","0","otras","hombre","0",1478,15,"religioso"
"1",1305,"pequeno","vertical","Tabla/Panel","0","oleo","hombre","0",1485,30,"religioso"
"0",31460,"grande","vertical","Tabla/Panel","0","oleo","hombre","1",1476,3,"religioso"
"0",3774,"pequeno","vertical","Tabla/Panel","0","mixta","hombre","0",1476,1,"religioso"
"0",15504,"mediano","vertical","Tabla/Panel","0","oleo","hombre","0",1478,5,"religioso"
"0",14000,"mediano","horizontal","Tabla/Panel","0","mixta","hombre","1",1480,10,"religioso"
"0",1989,"pequeno","horizontal","Tabla/Panel","0","mixta","hombre","0",1480,0,"otros"
"0",7078.5,"mediano","vertical","Tabla/Panel","0","oleo","hombre","0",1480,0,"religioso"
"0",10500,"mediano","vertical","Tabla/Panel","0","mixta","hombre","1",1480,10,"religioso"
"0",7508.8,"mediano","vertical","Tabla/Panel","0","mixta","hombre","1",1480,10,"religioso"
"0",11592,"mediano","vertical","Tabla/Panel","0","mixta","hombre","0",1480,0,"religioso"
"0",8658,"mediano","vertical","Tabla/Panel","0","mixta","anonimo","0",1488,25,"religioso"
"1",6784,"mediano","vertical","Tabla/Panel","0","mixta","varios","0",1488,25,"religioso"
"0",2820,"pequeno","vertical","Tabla/Panel","0","mixta","anonimo","0",1488,25,"caza_animales"
"0",6840,"mediano","vertical","Tabla/Panel","0","oleo","hombre","0",1504,57,"religioso"
"1",13630,"mediano","vertical","Tabla/Panel","0","oleo","varios","1",1478,1,"religioso"
"1",5760,"mediano","vertical","Tabla/Panel","0","oleo","hombre","0",1482,5,"religioso"
"0",11607,"mediano","vertical","Tabla/Panel","0","mixta","hombre","0",1485,10,"otros"
"0",11607,"mediano","vertical","Tabla/Panel","0","mixta","hombre","0",1485,10,"retrato_corte"
"0",6731,"mediano","vertical","Tabla/Panel","0","mixta","hombre","0",1485,10,"religioso"
"0",8100,"mediano","cuadrado","Tabla/Panel","0","mixta","hombre","0",1485,10,"religioso"
"0",2494,"pequeno","vertical","Tabla/Panel","0","mixta","hombre","0",1490,20,"religioso"
